asset_id,task_code,asset_type,public_path,provenance,generator_provider,prompt_version,generated_at,reviewer,review_status,safety_level,purpose,captions_text
p0-onion-harvest-v1,ONION_HARVEST,VIDEO,https://fzhsbakynrlrxyhhfxqo.supabase.co/storage/v1/object/public/visual-assets/p0/2026-09-03/onion_harvest.mp4,AI_GENERATED_PREGENERATED,,,,OWNER,APPROVED,LOW,P0_WORKER_INSTRUCTION,양파를 손으로 수확합니다.
p0-onion-trimming-v1,ONION_TRIMMING,VIDEO,https://fzhsbakynrlrxyhhfxqo.supabase.co/storage/v1/object/public/visual-assets/p0/2026-09-03/onion_trimming.mp4,AI_GENERATED_PREGENERATED,,,,OWNER,APPROVED,LOW,P0_WORKER_INSTRUCTION,양파를 손질합니다.
p0-onion-sorting-v1,ONION_SORTING,VIDEO,https://fzhsbakynrlrxyhhfxqo.supabase.co/storage/v1/object/public/visual-assets/p0/2026-09-03/onion_sorting.mp4,AI_GENERATED_PREGENERATED,,,,OWNER,APPROVED,LOW,P0_WORKER_INSTRUCTION,양파를 분류합니다.
p0-onion-transport-v1,ONION_TRANSPORT,VIDEO,https://fzhsbakynrlrxyhhfxqo.supabase.co/storage/v1/object/public/visual-assets/p0/2026-09-03/onion_transport.mp4,AI_GENERATED_PREGENERATED,,,,OWNER,APPROVED,LOW,P0_WORKER_INSTRUCTION,양파를 손으로 운반합니다.
p0-strawberry-harvest-v1,STRAWBERRY_HARVEST,VIDEO,https://fzhsbakynrlrxyhhfxqo.supabase.co/storage/v1/object/public/visual-assets/p0/2026-09-03/strawberry_harvest.mp4,AI_GENERATED_PREGENERATED,,,,OWNER,APPROVED,LOW,P0_WORKER_INSTRUCTION,딸기를 수확합니다.
p0-strawberry-sorting-v1,STRAWBERRY_SORTING,VIDEO,https://fzhsbakynrlrxyhhfxqo.supabase.co/storage/v1/object/public/visual-assets/p0/2026-09-03/strawberry_sorting.mp4,AI_GENERATED_PREGENERATED,,,,OWNER,APPROVED,LOW,P0_WORKER_INSTRUCTION,딸기를 분류합니다.
p0-strawberry-inspection-v1,STRAWBERRY_INSPECTION,VIDEO,https://fzhsbakynrlrxyhhfxqo.supabase.co/storage/v1/object/public/visual-assets/p0/2026-09-03/strawberry_inspection.mp4,AI_GENERATED_PREGENERATED,,,,OWNER,APPROVED,LOW,P0_WORKER_INSTRUCTION,딸기를 검수합니다.
p0-strawberry-packing-v1,STRAWBERRY_PACKING,VIDEO,https://fzhsbakynrlrxyhhfxqo.supabase.co/storage/v1/object/public/visual-assets/p0/2026-09-03/strawberry_packing.mp4,AI_GENERATED_PREGENERATED,,,,OWNER,APPROVED,LOW,P0_WORKER_INSTRUCTION,딸기를 포장합니다.
